"Rank","Root Domain","Linking Root Domains","Domain Authority"
"181","cbc.ca","354,035","93"
"182","qq.com","4,224,125","93"
"183","mirror.co.uk","261,607","93"
"184","fda.gov","278,613","93"
"185","techcrunch.com","390,157","93"
"186","icann.org","495,584","93"
"187","lycos.com","665,333","93"
"188","enable-javascript.com","1,553,425","93"
"189","nginx.com","509,007","93"
"190","newsweek.com","248,310","93"
"191","lemonde.fr","227,271","93"
"192","ovh.net","633,971","93"
"193","clickbank.net","456,932","93"
"194","ziddu.com","173,818","93"
"195","sfgate.com","321,073","93"
"196","sedo.com","2,685,494","93"
"197","indiatimes.com","335,069","93"
"198","biglobe.ne.jp","222,716","93"
"199","engadget.com","396,112","93"
"200","imageshack.us","791,987","93"
"201","trustpilot.com","350,504","93"
"202","hm.com","152,749","93"
"203","google.com.tw","143,288","93"
"204","doubleclick.net","641,753","93"
"205","economist.com","306,970","93"
"206","ca.gov","377,902","93"
"207","bandcamp.com","525,351","93"
"208","yahoo.co.jp","607,873","93"
"209","google.co.in","252,703","93"
"210","wiley.com","444,280","93"
"211","yadi.sk","175,772","93"
"212","list-manage.com","673,706","93"
"213","shutterstock.com","258,870","93"
"214","rt.com","232,114","93"
"215","nikkei.com","188,489","93"
"216","sapo.pt","207,444","93"
"217","thetimes.co.uk","309,760","93"
"218","forms.gle","402,384","93"
"219","my.yahoo.com","1,155,891","93"
"220","photobucket.com","1,611,895","93"
"221","gmail.com","184,606","93"
"222","google.co.id","163,566","93"
"223","www.over-blog.com","780,117","93"
"224","newyorker.com","327,173","93"
"225","addthis.com","698,076","93"
"226","nature.com","447,949","93"
"227","ted.com","501,106","93"
"228","netvibes.com","1,176,044","93"
"229","cnbc.com","396,297","93"
"230","umich.edu","288,968","93"
"231","godaddy.com","2,427,250","93"
"232","bund.de","453,581","93"
"233","huawei.com","1,962,020","93"
"234","ru.wikipedia.org","354,439","93"
"235","repubblica.it","172,702","93"
"236","noaa.gov","280,071","93"
"237","mozilla.com","189,979","93"
"238","adssettings.google.com","279,578","93"
"239","mashable.com","349,828","93"
"240","mysql.com","373,191","93"
"241","espn.com","312,263","93"
"242","rottentomatoes.com","201,155","93"
"243","news.com.au","257,990","93"
"244","sciencedirect.com","432,839","93"
"245","orange.fr","172,102","93"
"246","sendspace.com","152,425","93"
"247","disqus.com","915,657","93"
"248","nypost.com","283,707","93"
"249","surveymonkey.com","383,582","93"
"250","nginx.org","596,069","93"
"251","loc.gov","377,787","93"
"252","elmundo.es","197,310","93"
"253","secureserver.net","1,047,646","93"
